date,headline
20051020,Sensex slides 151 points
20051021,Sensex on roller-coaster ride
20051025,Sensex slides 148 pts
20051031,Delhi blasts: Sensex surges 207 points
20051102,Sensex rises 129 pts on buying spree
20051108,Sensex up 134 pts; Re slips
20051109,Sensex rises 111 points on FII support
20051112,FIIs; dipping crude pull sensex 162 pts
20051125,Sensex soars and Morgan Stanley warns
20051127,Sensex breaches 8900-point barrier
20051128,On a new high: Sensex crosses 9000 pts
20051128,Markets on a roll; Sensex crosses 9;000 mark
20051130,Movement of sensex orderly: Chidambaram
20051201,Sensex gains 156 points on FIIs' support
20051206,Sensex down 138 pts on profit-taking
20051207,S&P puts India rating under watch
20051207,These investors want Sensex to fall
20051210,Sensex scales a new peak: 9067
20051213,Sensex crosses 9100; gold touches Rs 8150
20051214,High after high; sensex tops 9200
20051224,Sensex crashes by 115 points
20051226,Across-the-board selling pulls down sensex by 171 points
20051227,Reliance demerger to hit sensex
20051228,Bull run: Sensex bounces back 197 points
20060104,Sensex rises 149 pts to touch 9539
20060104,Sensex crosses the 9;600-mark
20060105,Sensex touches 9;648
20060116,RIL special trading won't hit sensex
20060120,Sensex surges 212 points
20060126,Sensex crosses 9700; closes down
20060127,2006: Where will sensex go?
20060128,LN Mittal's Arcelor bid adds fuel to sensex surge
20060131,Sensex hits 9;900 mark
20060201,Sensex closes above 9900; gains 71 pts
20060206,Sensex makes history; touches Mt. 10;000
20060206,Shu vaat chhe; Sensexbhai
20060206,The famous eight of the sensex
20060206,Sensex at 10K scary
20060207,Bull run: Sensex creates history; scales Mount 10;000
20060207,Sensex touches 10K; city's on cloud nine
20060208,Sensex closes above 10K
20060211,Bullbhai Broker's Sensexual Fantasies
20060302,Sensex up 195 pts; crosses 10500
20060305,Now; gods tempted by soaring Sensex
20060306,Sensex gains 140 pts
20060309,Fall in Sensex is a correction
20060309,FIIs; blast pull down Sensex by 217 pts
20060310,Sensex gains 192 points
20060320,Sensex up 81 pts; 11000 in sight
20060321,Markets continue to roll; Sensex crosses Mt.11000
20060321,Sensex touches 11;004.07 pts at noon
20060322,Investors cautious as sensex touches 11000
20060324,Leapfrogging sensex: A fillip for ULIPs
20060328,Another peak: Sensex rallies to close over 11K
20060329,Market players see sensex closing in on Hang Seng
20060330,Heard on the street: Sensex eclipses Dow Jones
20060331,Sensex crosess 11;300 mark
20060406,Sensex closes over 11700
20060408,Sensex on roller-coaster ride
20060413,Sensex slides 2.5% on profit-booking
20060414,Another fall: Sensex sheds 119 points
20060417,Sensex rides Infy to gain 302 points
20060418,Sensex continues rising streak; gains 282 pts
20060419,S&P's revised outlook fails to cheer India Inc
20060420,Sensex creates another history; scales Mount 12K
20060420,Sensex defies analysts' predictions
20060421,SENSEX STRIKES 12
20060502,Reliance Comm all set to enter sensex
20060502,Sensex scales new peak; zooms over 200 pts
20060509,Sensex above 12500; ONGC m-cap tops Rs 2 lakh cr
20060515,Sensex dips below 12k mark as selling gathers momentum
20060516,Sensex slips 576 pts; recovers
20060516,Sensex slips 576 pts; recovers
20060517,Sensex makes a comeback; surges 344 pts
20060518,Stock Responses Sensex swings needn't
20060518,Sensex nosedives over 600 pts
20060518,Mid-summer crash for Sensex; free-falls 850 pts
20060518,Mayhem in markets; Sensex closes 826 pts down
20060518,Mid-summer crash for Sensex; free-falls 850 pts
20060519,Sensex's record plunge: Whodunnit?
20060519,As FIIs press selling button; Sensex crashes
20060519,The day after: Sensex continues to be volatile
20060519,As FIIs press selling button; Sensex crashes
20060519,The day after: Sensex continues to be volatile
20060521,FM responsible for Sensex crash: Citu
20060522,Sensex plunges by 500 pts below 11;000 mark
20060522,Manic Monday: Sensex plunges 1100 pts; trading suspended
20060522,Sensex recovers 700 pts after resuming trading
20060523,On a day of crazy swings; Sensex sinks below 10K
20060523,Volatile Tuesday: Sensex recovers from early lows
20060523,Sensex shows stability in midsession
20060523,Sensex gains ground; gains over 275 points
20060523,Sensex ends 341 points higher
20060524,Sensex ends 225 points down
20060525,Sensex surrenders 250 pts
20060525,Sensex down by over 300 points
20060525,Sensex surges nearly 150 points
20060525,Sensex ends day with 93-point gain
20060526,Swinging sensex ends positive; up 93 points
20060526,Sensex surges over 300 pts; close to 11;000
20060526,Sensex ends 143 points up
20060529,Sensex up by 172 pts in opening trade
20060529,Sensex closes 44 points up
20060530,LIC; UTI save the day for sensex
20060531,Sensex in bear grip: loses over 600 pts
20060531,Sensex recovers nearly 300 points; still in the red
20060601,BSE sensex hit by all-round panic selling
20060601,Sensex plunges after opening gain
20060601,Sensex; Nifty inch up after hitting day's low
20060601,Sensex loses 327 pts; players see recovery round the corner
20060603,Sensex gains 380 pts; 2nd highest
20060605,Sensex back to green after early blow
20060605,Sensex back to green after early blow
20060605,Sensex in red; plunges over 250 pts
20060605,Sensex slides 238 points as FIIs sell
20060606,Sensex down by 330 pts in early trade
20060606,Sensex drops below 10;000-mark
20060606,Sensex hovers around 10;000 mark
20060606,Sensex closes 256 points down
20060606,Sensex may settle around 9;800
20060607,Sensex in red; down by 300 points
20060607,Sensex closes 200 points down
20060608,Sensex skids 201 points on all-round selling
20060609,Fall continues; Sensex sheds 461 points
20060609,Sensex rebounds 515 pts on support from funds
20060613,Sensex sheds 334 points in volatile trade
20060613,Sensex slips 414 pts; hits lowest of 2006
20060615,Sensex settles below 9K with 133-point loss
20060615,Sensex holds strong after a robust opening
20060615,Surging Sensex crosses 9500 pts
20060615,Sensex; Nifty hit biggest ever single-day gain
20060616,Sensex at heady high; crosses 10K mark
20060616,Sensex recaptures Peak 10k in record rally
20060616,Sensex closes 339 points up
20060617,Bouncing back: FIIs pull up sensex by 339 points
20060619,Sensex closes near 10k despite gyrations
20060620,Sensex closes in red after 3 days
20060620,Sensex loses 175 points
20060621,Sensex tops 10K mark; up 218 points
20060626,Special gain: Sensex up 12 pts
20060701,Sensex vaults 447 pts
20060708,Rumour of PM quitting pulls sensex down
20060708,Rumour of PM quitting pulls sensex down
20060710,Sensex turns volatile in opening trade
20060710,Sensex surges in mid-day trade
20060711,Sensex slips over 100 points in weak trade
20060711,Sensex closes 70 points down
20060716,Sensex to move in narrow range
20060717,Sensex falls again; down by 385 points
20060717,Crude pressure: Sensex down 385 pts
20060718,Sensex down 100 pts; below 10;200 level
20060718,Sensex falls again; IT sector averts slide
20060719,Sensex off early highs; IT scrips down
20060719,Sensex slips into red; cement stocks surge
20060719,Sensex down 200 pts; below 10;000 level
20060719,Sensex closes 219 points down at 10;007
20060719,Sensex dips below 10K; sheds 219 pts
20060720,Sensex zooms 300 pts in opening trade
20060720,Sensex surges on strong broad-based rally
20060720,Sensex trades strong in broad-based rally
20060720,Sensex holds firm as buying resumed
20060720,Sensex closes at 10;300 level in strong rally
20060720,Sensex closes 346 pts up at 10;300 level
20060721,Sensex bounces back with a 346-point rise
20060721,Sensex closes 267 points down
20060725,Sensex off early highs; trades firm
20060726,Sensex closes 202 pts up; crosses 10;600
20060727,Sensex up 100 points; above 10;700
20060728,Volatility grips Sensex; Nifty in early trade
20060731,Sensex closes 64 points up; above 10;700
20060801,Sensex recovers; ends the day above 10;700
20060802,Sensex closes 100 pts up; above 10;800
20060803,Sensex closes 47 pts up; pares gains
20060804,Sensex opens on a positive note
20060804,Sensex above 11;000 mark in firm opening
20060804,Sensex above 11;000; metal; IT stocks up
20060804,Sensex off highs in volatile trade
20060804,Sensex plunges into red in volatile trade
20060804,Sensex closes 57 points down; pares gains
20060807,Sensex; Nifty slip after opening flat
20060807,Sensex down 80 points
20060808,Sensex drops; trading volume at year's low
20060808,Sensex surges 100 points in opening trade
20060808,Sensex trades firm on sustained buying
20060809,Sensex up 202 points on buying spree; scales 11k
20060809,Sensex pulls back after opening in red
20060809,Sensex surges 100 points; above 11;100
20060809,Sensex surges on strong broad-based rally
20060809,Sensex off highs; firmness prevails
20060809,Sensex gains momentum; trades firm
20060809,Sensex closes 130 points up; above 11;100
20060811,Sensex; Nifty open on a positive note
20060811,Sensex off high levels; auto scrips rise
20060811,Sensex; Nifty bounce back; trading flat
20060811,Sensex; Nifty bounce back; auto scrips up
20060811,Sensex; Nifty bounce back; auto scrips up
20060811,Sensex closes 43 points up in volatile trade
20060814,Sensex; Nifty open on a positive note
20060814,Sensex surges 100 points in firm trade
20060814,Sensex trades firm; oil & gas scrips up
20060814,Sensex closes 120 pts up; above 11;300
20060815,Sensex up 121 pts
20060816,Sensex trades firm; closes 135 points up
20060817,Sensex rallies 135 points
20060817,Sensex closes 29.17 pts up; Nifty in the red
20060818,Sensex in the red; down 17 pts
20060818,Sensex yo-yo's in volatile trade
20060818,Sensex in the red; down 30 pts
20060818,Sensex closes in the red; down 11 pts
20060821,Sensex slips in to red in early trade
20060821,Sensex slips in to red in early trade
20060821,Sensex in the red; down nearly 20 pts
20060821,Weak trend continues; Sensex volatile
20060821,Sensex closes above 11;500 mark
20060822,Sensex rises 46 points on heavy buying
20060822,Market opens strong; Sensex surges
20060822,Market opens strong; Sensex surges 78 pts
20060823,Sensex slips further; down near 100 pts
20060823,Sensex closes 95 pts in the red; at 11;406
20060824,Market open weak; Sensex in the red
20060824,Sensex in the green; Energy; metal stocks up
20060824,Sensex surges over 11;500-mark
20060824,Sensex closes 125 points up; at 11;531.95
20060825,Sensex opens in the green; PSU stocks up
20060825,Sensex closes 50 points up; at 11;572
20060828,Sensex surges over 11;600-mark
20060828,Sensex closes above 11;600-mark; 47.32 pts up
20060828,Sebi mulls new norms for changes in Sensex Nifty
20060829,Market opens strong; Sensex up 88 pts
20060829,Mkt strong; Sensex crosses 11;700-mark
